year,chapter,district,case_count
2009,7,almbk,3010
2009,7,alnbk,10787
2009,7,alsbk,2178
2009,7,arebk,5241
2009,7,arwbk,4253
2009,7,azbk,21095
2009,7,cacbk,77909
2009,7,caebk,793
2009,7,canbk,37363
2009,7,casbk,16542
2009,7,cobk,22988
2009,7,ctbk,8597
2009,7,dcbk,3274
2009,7,debk,2597
2009,7,flmbk,43695
2009,7,flnbk,4726
2009,7,flsbk,21070
2009,7,gambk,5571
2009,7,ganbk,32868
2009,7,gasbk,3501
2009,7,gubk,760
2009,7,hibk,2455
2009,7,ianbk,3541
2009,7,iasbk,5682
2009,7,idbk,6400
2009,7,ilcbk,8465
2009,7,ilnbk,41279
2009,7,ilsbk,4177
2009,7,innbk,15006
2009,7,insbk,20738
2009,7,ksbk,7712
2009,7,kyebk,9714
2009,7,kywbk,9811
2009,7,laebk,2566
2009,7,lambk,1274
2009,7,lawbk,3753
2009,7,mabk,16617
2009,7,mdbk,19167
2009,7,mebk,4226
2009,7,miebk,43386
2009,7,miwbk,14140
2009,7,mnbk,17896
2009,7,moebk,11647
2009,7,mowbk,11311
2009,7,msnbk,3860
2009,7,mssbk,4301
2009,7,mtbk,2268
2009,7,ncebk,4717
2009,7,ncmbk,4424
2009,7,ncwbk,5887
2009,7,ndbk,1442
2009,7,nebk,5477
2009,7,nhbk,4533
2009,7,njbk,26640
2009,7,nmbk,5367
2009,7,nmibk,35
2009,7,nvbk,21269
2009,7,nyebk,17082
2009,7,nynbk,9540
2009,7,nysbk,9994
2009,7,nywbk,7092
2009,7,ohnbk,31469
2009,7,ohsbk,23670
2009,7,okebk,1995
2009,7,oknbk,3694
2009,7,okwbk,5823
2009,7,orbk,13676
2009,7,paebk,9232
2009,7,pambk,7599
2009,7,pawbk,10714
2009,7,prbk,3842
2009,7,scbk,4998
2009,7,sdbk,1604
2009,7,tnebk,12867
2009,7,tnmbk,9441
2009,7,tnwbk,6857
2009,7,txebk,4389
2009,7,txnbk,10426
2009,7,txsbk,6752
2009,7,txwbk,7713
2009,7,utbk,9153
2009,7,vaebk,18428
2009,7,vawbk,6696
2009,7,vibk,188
2009,7,vtbk,1231
2009,7,waebk,5700
2009,7,wawbk,17492
2009,7,wiebk,14491
2009,7,wiwbk,7585
2009,7,wvnbk,2599
2009,7,wvsbk,3219
2009,7,wybk,1084
2010,11,akbk,636
2010,11,almbk,34
2010,11,alnbk,95
2010,11,alsbk,55
2010,11,arebk,23
2010,11,arwbk,64
2010,11,azbk,325
2010,11,cacbk,1010
2010,11,caebk,15
2010,11,canbk,189
2010,11,casbk,115
2010,11,cobk,173
2010,11,ctbk,116
2010,11,dcbk,18
2010,11,debk,951
2010,11,flmbk,748
2010,11,flnbk,41
2010,11,flsbk,340
2010,11,gambk,62
2010,11,ganbk,296
2010,11,gasbk,79
2010,11,gubk,45
2010,11,hibk,10
2010,11,ianbk,4
2010,11,iasbk,23
2010,11,idbk,44
2010,11,ilcbk,15
2010,11,ilnbk,263
2010,11,ilsbk,22
2010,11,innbk,64
2010,11,insbk,113
2010,11,ksbk,55
2010,11,kyebk,28
2010,11,kywbk,46
2010,11,laebk,46
2010,11,lambk,20
2010,11,lawbk,60
2010,11,mabk,186
2010,11,mdbk,235
2010,11,mebk,41
2010,11,miebk,147
2010,11,miwbk,33
2010,11,mnbk,50
2010,11,moebk,52
2010,11,mowbk,68
2010,11,msnbk,25
2010,11,mssbk,30
2010,11,mtbk,31
2010,11,ncebk,129
2010,11,ncmbk,24
2010,11,ncwbk,103
2010,11,ndbk,5
2010,11,nebk,53
2010,11,nhbk,17
2010,11,njbk,299
2010,11,nmbk,33
2010,11,nmibk,3
2010,11,nvbk,428
2010,11,nyebk,259
2010,11,nynbk,38
2010,11,nysbk,813
2010,11,nywbk,26
2010,11,ohnbk,133
2010,11,ohsbk,58
2010,11,okebk,10
2010,11,oknbk,13
2010,11,okwbk,31
2010,11,orbk,60
2010,11,paebk,142
2010,11,pambk,27
2010,11,pawbk,153
2010,11,prbk,144
2010,11,scbk,81
2010,11,sdbk,15
2010,11,tnebk,80
2010,11,tnmbk,146
2010,11,tnwbk,56
2010,11,txebk,111
2010,11,txnbk,341
2010,11,txsbk,356
2010,11,txwbk,204
2010,11,utbk,59
2010,11,vaebk,218
2010,11,vawbk,29
2010,11,vibk,1
2010,11,vtbk,7
2010,11,waebk,40
2010,11,wawbk,254
2010,11,wiebk,24
2010,11,wiwbk,26
2010,11,wvnbk,18
2010,11,wvsbk,14
2010,11,wybk,22
2010,12,akbk,8
2010,12,almbk,4
2010,12,alnbk,8
2010,12,alsbk,1
2010,12,arebk,5
2010,12,arwbk,4
2010,12,azbk,10
2010,12,cacbk,11
2010,12,caebk,1
2010,12,canbk,39
2010,12,casbk,3
2010,12,cobk,12
2010,12,ctbk,5
2010,12,dcbk,10
